,tweet,Label
0,  غريب وحلو وبنفس الوقت بسيط     ,💕
1,  كويتية   تعالي سنابي  ,💕
2,  كل عام وانتي بخير يا وردة تويتر والمساحات    ,💕
3,  الاجواء فى الشتا    ,💕
4,  من عز   بالأقوام  ذل  بذلهم  ومن عز  بالر حمن ظل   عزيزا       ,💕
5,        تستاهل الطيب يابعدي     ,💕
6,       عليه افضل الصلاه واتم التسليم                ,💕
7,  الليلة ليلة خير ايام الاسبوع         نذكر بعض بقراءة سورة الكهف والاعمال الطيبة واكثروا من الصلاة والسلام على خير الانام  تصبحوا على خير  ,💕
8,  انا بقوم وبكمل على شان اثبت لي نفسي اني ابدا م هينه وحكون حاجه رهيبه غصب عن أي زول    ,💕
9,  اصالة بعد   ,💕
10,         لقلبك  ورود الجنة بيلا    ,💕
11,      كل سنة ونت طيب يخويا   ,💕
12,  حبيبة قلبي     ,💕
13,  والله اتفق             ,💕
14,    تستاهههههلي كل خير والله يجعلهم شاهدين لك لاعليك وبنحبك     ,💕
15,  يا أبو قلب  أطهر من ثيابي لي ا صليت ويا أبو ضحكة  من تبتسم يبتسم كوني   ,💕
16,  اوقات تكوني مغصوبه ع اشياء لانو مو لازم تكوني انتي راضيه لا عشان حتشوفي رضا اتنين اهم منك . .  ,💕
17,  الحياه لا تعطينا كل ما نحب  ... لكن من يحبوننا بصدق هم من يعطوننا كل الحياه ...   ,💕
18,       شكرا      ,💕
19,                 والله مقدر اوريك بس لابسة فص زي الالماس صغييير مرة، الصدق مو مرة يألم احس المه كان مؤقت يشبه لو اني طحت على خشمي وخفييييف الالم مرة، تقعدين فترة يألمك الم خفيف بعدين خلاص يختفي الالم بعد اسبوعين او اسبوع ونص فصراحة لو تبين تسوينه سويه تراه مو بذاك السوء والالم اللي تتخيلينه   ,💕
20,  أجمل من يعلق وربي   ,💕
21,  اليوم تبارك الله كل الي شفتهم حبوبين وخدومين الله يديمها ويزرع في طريقنا الناس الي احسن مننا    ,💕
22,  نفسيتى محتاجه حد كل ما يشوفنى يقولى أنتى     وهما    أنتى أطعم من الجاتوه  .  ,💕
23,  رنت علي ، ياااا للييييل رايحة ابلش اشحد    ,💕
24,  محلاج انتتيي      ,💕
25,  هكذا احتمل العمر نعيمأ اه وعذاب مهجة حاره وقلبأ مسه الشوق فذاب    ,💕
26,  اللهم امين ولج المثل يارب    ,💕
27,  بس مبسوط انها رجعت تشتي تاني     ,💕
28,    ندود حبيبي     ,💕
29,  احلى من يسوي عشوائيات    ,💕
30,             الله يحفظك ويرضى عليك ويسعد روحك وترجعين بالسلامة امين وكلك ذوق مشكورة يا اختي الغالية  ,💕
31,     ريان    ,💕
32,  كل عام و بلدي الثاني ومسقط رأسي الكويت بألف خير ادام الله عليها الأمن و الأمان و حفظ الله اميرها و شعبها م كل مكروه      ,💕
33,  الخميس الونيس الحمدلله على السلامة توي واصل البيت حلوه الطلعه الخفافيه    ,💕
34,  من انجازات سنة      اني انقذت هذا الجميل من الشارع ، وتبنوه عائلة حبهم وحبوه    ,💕
35,  الحب الجديد     ,💕
36,   فابسط له  الكف  لن تأتيك  فارغة  فقد سألت  الذي سو  اك  من عـدم     الوتر   ,💕
37,  ربنا يفرحك دايما كدة يا حمزةة    ,💕
38,        يالبييييييه    ,💕
39,  هناك اصدقاء يشهد لهم قلبي انهم جمال الدنيا   ,💕
40,      صلى الله عليه وسلم     ,💕
41,      حياتي والله اخجلتيني     ,💕
42,  بقربك حلوة أيامي   ,💕
43,  صباح الخير شباب طفشانه ومشتاقه تعالو واتس        ,💕
44,             تدووومين ي حلوه    ,💕
45,  اللهم في يوم الجمعه راحة طويله فرح قريب راضي عني ، اللهم ارحم اخي يوم الجمعة    ,💕
46,    قال رسول الله  :  أ كث روا الص  لاة  علي   يوم  الجمعة  وليلة  الجمعة  فمن صل  ى علي   صلاة  صل  ى الل  ه  علي ه  عشر ا .  ,💕
47,  الصديق الحقيقي هو الذي ينصحك إذا رأى عيبك ويشجعك إذا رأى منك الخير ويعينك على العمل الصالح    ,💕
48,   أن أراك مسرور ا، هذا س روري            ,💕
49,                 ربنا يخليك      ,💕
50,  الجمعة الأخيرة من شهر رجب  الله م أجبر خاطرنا في هذه الليلة كما جبرت قلب نبينا محمد عليه افضل الصلاه والسلام   ,💕
51,  حمستيني له مررره، بأقرب وقت ألاقي فيه فرصه بشتريه    ,💕
52,  اللهم صل وسلم على سيدنا محمد .  ,💕
53,  ررااحه         ,💕
54,  كريمه اوي    ,💕
55,     حبيبي   ,💕
56,  انتي القمر    ,💕
57,     العمر كله في طاعة الله   ,💕
58,     جعلـني فدوه حق اللـي بيكبرون بعد ثـلاث ايـام    ,💕
59,  وانتي بخيييرررر     ,💕
60,  الله يبارك فيك يا جمييل وعقبالك كمان    ,💕
61,  ثااانكيوووو يا اسراء       ,💕
62,  .   قال النبي     اكثروا من الصلاة علي  ليلة الجمعة   ويوم الجمعة فإن صلات م معروضة علي  اللهم صل وسلم على نبينا محمد .   ،  ,💕
63,  و انت طيبة يا ايماان     ,💕
64,  الله يبارك فيك   ,💕
65,  بسم الله على قلبج و روحج و كل شي فيج جعل راحة البال و السعادة تحتويـج حبيبي    ,💕
66,     رضااا بقي     ,💕
67,  في عيونك الثنتين شفت المسره    ,💕
68,           صلى الله عليه وسلم    ,💕
69,      من حسن ظنك    ,💕
70,  تعالى انتى بس    ,💕
71,  حبيبتي ويحفظ لج غاليج    ,💕
72,  ميلاد  الهنا و سنة حلو ه وجميلة ولطيفة عليك بك ل تفاصيلها وأحداثها يارب         ..  ,💕
73,  الله يبارك فيك  اللهم اميين  ,💕
74,  م ختارات مش عشوائيات   ,💕
75,  عجلان  مهرجان عجلان  ,💕
76,  ما فارقتش ثانية حبيبي خيالي   ,💕
77,  الله يبارك فيك يا جميل   ,💕
78,  ربي يحفظهم    ,💕
79,    لم يمض  الأمر ما زال يحدث هنا.. في قلبي   ,💕
80,  جزاك الله خير م قصرت و الف مبروك للي فازوا     ,💕
81,    هنيالج    ,💕
82,  شهاده يعتز بيها والله     ,💕
83,      هلاا فيييك   ,💕
84,    يهمني ارضاء رب النفوس   ,💕
85,  لكننا من نظرة  نستسلم  ..   صالون تشرين  ,💕
86,    .  اللهم اني استودعتك عام ا مضى من عمري واستودعتك عامي الجديد ، اللهم اجعله عام اجمل مما مضى و اكتب لي الخير فيه .  ,💕
87,  في ليالي الخميس لا مثيل لبرشلونه    ,💕
88,  ي قلبيي انتي الزييين كله وانتي بخييير وصحة وسلامه     ,💕
89,       الف سلامه فيها العااافيه ي حب     ,💕
90,  خميييس راائع. شكر ا تووفي   شكر ا ارسنال    ,💕
91,      كل عام وانتم بخير فديتك انت والكويت كلها يا حبي لكم بس   ,💕
92,  فعلا    ,💕
93,    قوليلي رايك بعد ماتشوفيه يلا ها  فن   ,💕
94,  حتى من ظننا أننا لا نستطيع التصرف بدون مشروتهم ، استطعنا بفضل الله وأكملنا الطريق دون الإستناد على أحدهم فالله وحده السند والمعين ، وبفضله يسخر لك الطيبين من عباده   ,💕
95,     تصويرك رهيب المهر     ,💕
96,  وتقول مزاجييه لمني في محجر عيونك حبيبي وخلني خلني اشوف نفسي في عيونك واطمئن   ,💕
97,       مبروك ي منون    ,💕
98,     الحمدلله   ,💕
99,  كل عام و انتو بألف خير يا ألطف توأم     ,💕
100,     ذوق المهر    ,💕
101,  انهيت عام وابتديت عام جديد. وأهم شي اهديه لنفسي مابنتظر أحد يفرحني سواء بهدية أو كلمة، لأن يبقى الأهم بنظري إني استمر ب  ح ب ذاتي وأتقبل نفسي بجميع حالاتي بحسناتي وسيئاتي وقبول نقاط القوة والضعف ،وأطمح دايم أكون الأفضل فكريا  عقليا  وجسديا  . كوني لذاتك كل شي وأسعدي نفسك بنفسك    ,💕
102,  ان الله دائما  ي حقق المستحيلات بالطريقة الأكثر استحالة فأطمئن    ,💕
103,  مو اسفه ابد ا لعيال الوطن لاني ماراح اتزوجهم وماراح اتزوج غير هذا    ,💕
104,  احبك .. بكل لغات العالم    ,💕
105,  اكيد اكيد     ,💕
106,  الذكريات من كترها فاكرينها مش ناسيين   ,💕
107,     ممن عيوني يالبيهه     ,💕
108,  مكنة    ,💕
109,  محد غيركم اينن   ,💕
110,  حبك سماا بلاا حد   ,💕
111,         مساء الانوار حبيبتي    ,💕
112,  الاشياء الاقرب الى قالبى   ,💕
113,  الله م يام حقق الآمال اكت ب لنا ما تعلقت به  أمالنا..  يارب  ,💕
114,  تصبحون على تايم لاين مختلف بهجة أكثر حب أكثر سعه أكبر وشغف ماله أبد نهاية     ,💕
115,  لا أحتاج إلى لفت إنتباهك بين هذا الحشد من الملو حين ، أعلم أنك تراني ، إنني واضح ، ولامع جد ا بالنسبة إليك    ,💕
116,        ادري انا المقصوده   ,💕
117,     كل عام وانتي بخير حياتي، مميزة نفس يومج   ,💕
118,  تعليقات السناب كلها بصوووووب وتعليقات شيماء بصووووووب          ,💕
119,    صل  وا على غيث القلوب وري  ها خير  الخلائق  رحمة الرحم ن     ,💕
120,         عافيه    ,💕
121,   إن ي أ صل  ي عل   هذا القلب ي صبح كالحديقة .   ,💕
122,  اللهم صل وسلم على سيدنا محمد صلاة تحل بها عقدتي ،وتفرج بها كربتي ،وتمحو بها خطيئتي ،وتقضي بها حاجتي    ,💕
123,    ربي يجبر بخاطرك ويعطيك ايام سمحه كيفك   ,💕
124,  الحمدلله    ,💕
125,     ولا غلطه    ,💕
126,  كانوا كيوت   ,💕
127,  ضحكة من الحلوة ترد الروح تفتح شبابيك وبيبان البيت   ,💕
128,  خانته حبيبته بسبب المال فكانت النتيجة هناك قلوب  لا تشترى بالمال   ,💕
129,  إن الصلاة على النبي ت هدى بعشر أمثالها ، اللهم صل وسلم على نبينا م حمد    ,💕
130,  الحمدلله على السلامه. نورتوا    ,💕
131,  اللهم ادخل أبي جنتك بلا حساب ولا سابق عذاب   ,💕
132,  وانتي بخير حياتي ملاك   ,💕
133,  وانتي بخييير حبيبتي      ,💕
134,       لن يحتويك ، ولن يهتم بك ، ولن يسأل عنك ، ولن يفتقدك ، ولن يشتاقلك الا شخص يحبك .. لذلك لا تكن إلا لمن يراك له    ,💕
135,  الله يباركلك يا دي    ,💕
136,   اللهم هذبني وهذبه لنلتقي صالحين ..    ,💕
137,  كل يوم عن يوم احس بوجودها العظيم على نفسي وقلبي يارب لا تحرمني قربها  .  ,💕
138,    اللهم بارك يا آمنية.. الله يجعلك من حفظة كتاب الله     ,💕
139,  ماتغير شي غير الحب زاد    ,💕
140,  اشتقت لك والشوق يغلب عليه .. اشتقت لك وأنت بشوقي لك ادرى.  بوح آخر الليل  ,💕
141,  وصفوا لي الصبر    ,💕
142,  الحمدلله تأهل غافي   ,💕
143,      عز الله مافي مثل قلبك  نجوحه القلب      ,💕
144,       ماشاء الله منورين    ,💕
145,           ربنا يشفيها ويعافيها وتقوم لينا بالسلامه يرب ويخليكوا لبعض يرينو   ,💕
146,  حبيب قلبي   ,💕
147,  الحمدلله على العائلة و الأصدقاء و الناس و الأشياء الي تخليك تحب نفسك أكثر    ,💕
148,  يااحبيبتي   ,💕
149,  تحل  محل كل شيء ولا شيء يحل  مكانك    ,💕
150,            يدوم نبض قلبك    ,💕
151,     ابداع المهر    ,💕
152,  ارسناااال    ,💕
153,  محبوبي الغالي    ,💕
154,  عليه افضل الصلاه واتم التسليم                ,💕
155,     هلا وغلا لا حبيبتي مو تقارن هي تقلده عشان تحبه   حتى لو يضاربوا كثير   بس تظل تحبه وتقلده اهم نقطة : إنت لا تقارنيها به يعني لاتقولي شوفي فلان اكل إنت  ما أكلت  ،.. تبغي منها شيء اطلبيه مبااشرة بدون شوفي فلان يخليهم لك ربنا    ,💕
156,  يارب تكون من نصيبي والي محتاج يارب    ,💕
157,          يسعدلي قلبك  أكيد رح ابعث لك     ,💕
158,  اللهم لك الحمد والشكر كما ينبغي لجلال وجهك وعظيم سلطانك ..  ,💕
159,  الي أحدهم  نت جميعهم   ،  ,💕
160,    عليه افضل الصلاه واتم التسليم                ,💕
161,     بختي لو بشبهها      ,💕
162,  قلبي انتي       ,💕
163,  جد... يسعد قلبك ابو المجالي    ,💕
164,    هابي بيرث دي ياحلو سنة حلوة مثل وجهج يارب        ,💕
165,  الحمدلله دائم ا وأبد ا    ,💕
166,  زووووووووووووووط يااااخ زووووووط            ,💕
