,tweet,Label,💕,🥺,😂,😭,😍,💙,🙏,👌,👍,👏,🤦,♥️,✨,🏆,🥇,🎉,🌹,🌺,🌷,🦋,💐,🔥,🌚,🚨,🌙,🌞,☕,🔪,🎂,🍓,🥂,👑,💎,🎶,💡,🎵,🔴,🚫,🔵,❌,✅,🇸🇦,🇪🇬,🇵🇸,🇫🇷,🇷🇺,💪,⚽,🌻,🌈
0,['غريب وحلو وبنفس الوقت بسيط 💕💕'],💕,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,['كويتية 💕 تعالي سنابي'],💕,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,['كل عام وانتي بخير يا وردة تويتر والمساحات 💕'],💕,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,['الاجواء فى الشتا💕💕'],💕,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,['من عزَّ بالأقوامِ ذلّ بذلهم  ومن عزّ بالرّحمن ظلَّ عزيزا  •|💕'],💕,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,['8kw09 تستاهل الطيب يابعدي 💕💕'],💕,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,['2227 عليه افضل الصلاه واتم التسليم\u2066️\u2069💕'],💕,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,['الليلة ليلة خير ايام الاسبوع 💕💕💕💕💕💕💕 نذكر بعض بقراءة سورة الكهف والاعمال الطيبة واكثروا من الصلاة والسلام على خير الانام  تصبحوا على خير'],💕,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,['انا بقوم وبكمل على شان اثبت لي نفسي اني ابدا م هينه وحكون حاجه رهيبه غصب عن أي زول 💕'],💕,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,['اصالة بعد💕'],💕,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,['19837  لقلبكِ ورود الجنة بيلا 💕'],💕,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,['151 كل سنة ونت طيب يخويا💕'],💕,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,['حبيبة قلبي💕💕💕'],💕,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,['والله اتفق \u200d️💕💕💕'],💕,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,['1 تستاهههههلي كل خير والله يجعلهم شاهدين لك لاعليك وبنحبك💕💕💕'],💕,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
